claim_id,claim,true_label
bioasq_0,Is the protein Papilin secreted?,Supported
bioasq_1,Are long non coding RNAs spliced?,Supported
bioasq_2,Is RANKL secreted from the cells?,Supported
bioasq_3,Does metformin interfere thyroxine absorption?,Refuted
bioasq_4,Has Denosumab (Prolia) been approved by FDA?,Supported
bioasq_5,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,Supported
bioasq_6,Are transcription and splicing connected?,Supported
bioasq_7,Is Alu hypomethylation associated with breast cancer?,Supported
bioasq_8,Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?,Supported
bioasq_9,Do mutations of AKT1 occur in meningiomas?,Supported
bioasq_10,Does physical activity influence gut hormones?,Supported
bioasq_11,Is irritable bowel syndrome more common in women with endometriosis?,Supported
bioasq_12,Does BNP increase after intensive exercise in athletes?,Supported
bioasq_13,Are there web based self management strategies for chronic pain ?,Supported
bioasq_14,Is Weaver syndrome similar to Sotos?,Supported
bioasq_15,Are ultraconserved elements often transcribed?,Supported
bioasq_16,Is peripheral neuroepithelioma related to Ewing sarcoma?,Supported
bioasq_17,Is c-met involved in the activation of the Akt pathway?,Supported
bioasq_18,Is pregnancy an additional risk during during H1N1 infection?,Supported
bioasq_19,Are long non coding RNAs as conserved in sequence as protein coding genes?,Refuted
bioasq_20,Is TENS machine effective in pain?,Supported
bioasq_21,Is there any algorithm for enhancer identification from chromatin state?,Supported
bioasq_22,Are transcribed ultraconserved regions involved in cancer?,Supported
bioasq_23,Do patients with Pendred syndrome present congenital deafness?,Supported
bioasq_24,Is CD56 useful in Ewing sarcoma prognosis?,Supported
bioasq_25,Are there any urine biomarkers for chronic kidney disease?,Supported
bioasq_26,Is valproic acid effective for glioblastoma treatment?,Supported
bioasq_27,Can Levoxyl (levothyroxine sodium) cause insomnia?,Supported
bioasq_28,Is fatigue prevalent in patients receiving treatment for glioblastoma?,Supported
bioasq_29,Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?,Supported
bioasq_30,Does the CTCF protein co-localize with cohesin?,Supported
bioasq_31,Are stress granules involved in the pathogenesis of Amyotrophic Lateral Sclerosis?,Supported
bioasq_32,Does TGF-beta play a role in cardiac regeneration after myocardial infarction?,Supported
bioasq_33,Is DITPA a thyroid hormone analog utilized in experimental and clinical studies,Supported
bioasq_34,Is MammaPrint cleared by the United States Food and Drug Administration? ,Supported
bioasq_35,Is amantadine effective for treatment of disorders conciousness?,Supported
bioasq_36,Is GAGA associated with nucleosome-free regions (NFR)?,Supported
bioasq_37,Is amiodarone a class I anti-arrhythmic drug?,Refuted
bioasq_38,Is SLC22A3 expressed in the brain?,Supported
bioasq_39,Has the protein TIEG1 been associated with apoptosis?,Supported
bioasq_40,Is PTEN involved in follicular thyroid carcinoma?,Supported
bioasq_41,Does strenuous physical activity affect thyroid hormone metabolism?,Supported
bioasq_42,Is the gene MAOA epigenetically modified by methylation?,Supported
bioasq_43,Is glycyl-tRNA synthetase gene involved in the development of Charcot-Marie-Tooth disease?,Supported
bioasq_44,Is there any software for automated analysis of FISH images?,Supported
bioasq_45,Is there an increased risk for cancer in Dyskeratosis Congenita?,Supported
bioasq_46,Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?,Supported
bioasq_47,Are there any statistical methods for normalizing and identifying differential regions in histone modification ChIP-seq data?,Supported
bioasq_48,Is CD84 genetically associated with arthritis?,Supported
bioasq_49,Are there any specific antidotes for rivaroxaban?,Refuted
bioasq_50,Is cytisine superior to nicotine replacement therapy for smoking cessation?,Supported
bioasq_51,Is the abnormal dosage of ultraconserved elements disfavored in cancer cells?,Refuted
bioasq_52,Does thyroid hormone regulate calcium transient in the myocardium? ,Supported
bioasq_53,Are proteasome inhibitors good candidates for treatment of leukemia and solid tumors?,Supported
bioasq_54,Is there any link between CTF4 and CTF18 during sister chromatid cohesion?,Supported
bioasq_55,Are thyroid hormone receptor alpha1 mutations implicated in thyroid hormone resistance syndrome?,Supported
bioasq_56,Does administration of triiodothyronine improve outcome following coronary artery bypass grafting?,Refuted
bioasq_57,Is long QT syndrome a cause for sudden cardiac death in athletes?,Supported
bioasq_58,Is protein M3/6 a dual specificity phosphatase?,Supported
bioasq_59,Are there focused databases from which you can retrieve gene expression data on renal disease?,Supported
bioasq_60,Are there any DNMT3 proteins present in plants?,Supported
bioasq_61,Has vitamin D has been shown to reduce incidence of falls in older people in clinical trials?,Supported
bioasq_62,Has depression been shown to be a predictor of frailty?,Supported
bioasq_63,Is there any association between Jarid2 and miR-155 in Th17 cells?,Supported
bioasq_64,Is it safe to take isotretinoin during pregnancy?,Refuted
bioasq_65,Can DNA intercalators function as topoisomerase inhibitors?,Supported
bioasq_66,Do orphan and gene related CpG islands follow power-law-like distributions?,Supported
bioasq_67,Can valproic acid act as an activator of AMPK?,Supported
bioasq_68,Is the Drosophila Translational Control Element (TCE) involved in spermatogenesis?,Supported
bioasq_69,Is low T3 syndrome a prognostic marker in patients with renal insufficiency?,Supported
bioasq_70,Does burning mouth syndrome preferentially affect post-mepopausal women?,Supported
bioasq_71,Can life style changes reduce oxidative stress,Supported
bioasq_72,Is oxidative stress affected by FOXO expression?,Supported
bioasq_73,Is the Dictyostelium discoideum proteome known?,Supported
bioasq_74,Is single-cell analysis (SCA) possible in proteomics?,Refuted
bioasq_75,Is shotgun lipidomics the direct infusion of a lipid sample into a mass spectrometer?,Supported
bioasq_76,Is apixaban effective for treatment of acute venous thromboembolism?,Supported
bioasq_77,Is the tricarboxylic acid (TCA) cycle affected in inflammation?,Supported
bioasq_78,Are reduced-nicotine cigarettes effective for smoking cessation?,Supported
bioasq_79,Is the Wnt protein modified by notum?,Supported
bioasq_80,Is ospemifene effective for treatment of dyspareunia?,Supported
bioasq_81,Is pregabalin effective for treatment of patients with restless leg syndrome?,Supported
bioasq_82,Can zinc finger nucleases be used to combat disease?,Supported
bioasq_83,Is RET the major gene involved in Hirschsprung disease?,Supported
bioasq_84,is intense physical activity associated with longevity ?,Supported
bioasq_85,Are cyclophilins proteins that bind to prolines?,Supported
bioasq_86,Can a given genotype exhibit opposite fitness effects (beneficial and detrimental) within the same environment?,Supported
bioasq_87,Has the protein SETMAR (Metnase) a transposase domain?,Supported
bioasq_88,Is alternative splicing of apoptotic genes playing a role in the response to DNA or mitochondrial damage?,Supported
bioasq_89,Is nucleosome eviction ATP-dependent?,Supported
bioasq_90,Is TREM2 associated with Alzheimer's disease in humans?,Supported
bioasq_91,Have mutations in the Polycomb group been found in human diseases?,Supported
bioasq_92,Is microRNA(miRNA) 29 involved in post-ischemic cardiac remodeling?,Supported
bioasq_93,Is exonuclease Xrn1 a component of the P-bodies?,Supported
bioasq_94,Can sorafenib activate AMPK?,Supported
bioasq_95,Is Vortioxetine effective for treatment of depression?,Supported
bioasq_96,Is exome sequencing efficient for the detection of germline mutations?,Supported
bioasq_97,Is it feasible to determine the complete proteome of yeast?,Supported
bioasq_98,Are circRNAs associated with diseases and traits?,Supported
bioasq_99,Could the Menzerath-Altmann law be proved mathematically trivial in genomes?,Supported
bioasq_100,"Are there studies representing the involvement of Notch mutations in neurodegenerative diseases such as Down syndrome, Pick's and Prion's disease, and cadasil syndrome?",Supported
bioasq_101,Are there any functional differences between Mfd and its human Cocaine syndrome protein B (CSB) homolog?,Supported
bioasq_102,Is the yeast Μac1 transcription factor induced upon copper deficiency?,Supported
bioasq_103,Have thyronamines  effects on fat tissue?,Refuted
bioasq_104,Is there a package in R/bioconductor for classification of alternative splicing?,Supported
bioasq_105,Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?,Supported
bioasq_106,Is there an association between TERT promoter mutation and survival of glioblastoma patients?,Supported
bioasq_107,Is bapineuzumab effective for treatment of patients with Alzheimer's disease?,Refuted
bioasq_108,Is intense physical activity associated with longevity?,Supported
bioasq_109,Is desmin an intermediate filament protein involved in Dilated Cardiomyopathy (DCM)?,Supported
bioasq_110,Is lambrolizumab effective for treatment of patients with melanoma ?,Supported
bioasq_111,Is cadasil syndrome a hereditary disease?,Supported
bioasq_112,Is nintedanib effective for Idiopathic Pulmonary Fibrosis?,Supported
bioasq_113,Is pesticide exposure associated with polyneuropathy?,Supported
bioasq_114,Is there an association between borna virus and brain tumor?,Refuted
bioasq_115,Does PU.1 (SPI1) affect NF-kB binding?,Supported
bioasq_116,Does the majority of the mitochondrial genomes abide to the second parity rule (PR2)?,Refuted
bioasq_117,Is there an association between bruxism and reflux?,Supported
bioasq_118,Is paroxetine effective for treatment of premenstrual dysphoric disorder?,Supported
bioasq_119,Is endostatin a proangiogenic factor?,Refuted
bioasq_120,Can botulism poisoning of a pregnant woman harm her fetus?,Refuted
bioasq_121,Does a linker histone exist in the yeast genome?,Supported
bioasq_122,Can protein coding exons originate from ALU sequences?,Supported
bioasq_123,Is there evidence that tomato juice lowers cholesterol levels?,Supported
bioasq_124,Are there transposon-free regions in mammalian genomes?,Supported
bioasq_125,Are messenger RNA molecules epigenetically methylated?,Supported
bioasq_126,Have gnotobiotic animal models been used for the study of bowel disease?,Supported
bioasq_127,Is invasion and metastasis one of the hallmarks of cancer?,Supported
bioasq_128,Is it possible to detect survivin protein expression in normal human adult tissues?,Refuted
bioasq_129,Is progesterone effective for treatment of patients with traumatic brain injury based on clinical trial data?,Refuted
bioasq_130,Is there a role for the cylindromatosis tumor suppressor (CYLD) in lung cancer?,Supported
bioasq_131,"Can we detect DNA strand asymmetries using dinucleotide relative abundance ""genomic signatures""?",Refuted
bioasq_132,Is there any relationship between histone ubiquitylation and splicing?,Supported
bioasq_133,Can SUMO affect calcium homeostasis?,Supported
bioasq_134,Have mutations in the GARS gene been identified to cause Charcot-Marie-Tooth Disease Type 2D (CMT2D)?,Supported
bioasq_135,Does melanoma  occur in people of African origin ?,Supported
bioasq_136,Are people with blood group O protected against severe Malaria?,Supported
bioasq_137,Is there a crystal structure of the full-length of the flaviviridae NS5(Methyltransferase - RNA depended RNA Polymerase) ?,Supported
bioasq_138,Can venlafaxine block NET and SERT?,Supported
bioasq_139,Can vitamin B1 deficiency cause encephalopathy?,Supported
bioasq_140,Are epigenetic modifications implicated in cardiovascular development and disease?,Supported
bioasq_141,Can exosomes be detected in urine?,Supported
bioasq_142,Is Kanzaki disease associated with deficiency in alpha-N-acetylgalactosaminidase?,Supported
bioasq_143,Is Mycobacterium avium less susceptible to antibiotics than Mycobacterium tuberculosis?,Supported
bioasq_144,Are there conserved noncoding elements identified between genomes of human and teleosts?,Supported
