claim_id,claim,true_label
scifact_1404,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,supported
scifact_1069,Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,supported
scifact_1065,Satellite cell dysfunction is a key factor in sarcopenia development.,refuted
scifact_1056,Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,supported
scifact_1055,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,supported
scifact_1054,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,supported
scifact_1050,Risedronate increases risk of vertebral and non-vertebral fractures.,refuted
scifact_1048,Ribosomopathies have a high degree of cell and tissue specific pathology.,supported
scifact_1045,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.,supported
scifact_1044,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in gluconeogenesis.,supported
scifact_39,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,supported
scifact_34,A deficiency of folate increases blood levels of homocysteine.,supported
scifact_32,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,refuted
scifact_30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,supported
scifact_28,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,refuted
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,supported
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,refuted
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,supported
scifact_58,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,refuted
scifact_55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,supported
scifact_52,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,supported
scifact_47,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,supported
scifact_46,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,supported
scifact_44,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,supported
scifact_41,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,supported
scifact_40,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",refuted
scifact_1383,aPKCz causes tumour suppression by affecting glutamine metabolism.,supported
scifact_77,Active Ly49Q prevents neutrophil polarization.,refuted
scifact_76,Active Ly49Q induces neutrophil polarization.,supported
scifact_71,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,supported
scifact_69,Activation of PPM1D enhances p53 function.,refuted
scifact_68,Activated Cdk5 regulates DNA damage-induced neuronal death.,supported
scifact_67,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,supported
scifact_61,ART substantially reduces infectiveness of HIV-positive people.,supported
scifact_60,ART has no effect on the infectiveness of HIV-positive people.,refuted
scifact_104,Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,refuted
scifact_98,Alirocumab treatment reduces apo(a) fractional clearance rate.,refuted
scifact_93,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,supported
scifact_88,Adult tissue-resident macrophages possess a self-renewing capacity.,supported
scifact_86,Adult tissue-resident macrophages are seeded before birth.,supported
scifact_79,Active caspase-11 protein promotes pyroptosis.,supported
