claim_id,claim,true_label
healthfc_0,Can masks reduce corona infections when worn by a large proportion of the population?,refuted
healthfc_1,Can homeopathic preparations with Anamirta cocculus help against dizziness?,supported
healthfc_2,Can zeolite alleviate or prevent health problems?,supported
healthfc_3,Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,refuted
healthfc_4,"Does starting school later improve health, learning success, and quality of life in adolescents?",supported
healthfc_5,Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,supported
healthfc_6,Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,supported
healthfc_7,Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,supported
healthfc_8,Is the homeopathic remedy Neradin effective for erectile dysfunction?,supported
healthfc_9,Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,refuted
healthfc_10,Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,refuted
healthfc_11,Can olive leaf extract reduce high blood pressure?,supported
healthfc_12,Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,supported
healthfc_13,Can probiotics lower blood sugar in type 2 diabetes?,refuted
healthfc_14,Can the so-called Tupler technique help against rectus diastasis?,supported
healthfc_15,Can CBD (cannabidiol) help with migraines or other headaches?,supported
healthfc_16,Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,supported
healthfc_17,"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?",refuted
healthfc_18,Can CBD help with period pain?,supported
healthfc_19,"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?",NEI
healthfc_20,Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,NEI
healthfc_21,"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?",supported
healthfc_22,Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,refuted
healthfc_23,Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,supported
healthfc_24,Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,refuted
healthfc_25,"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?",supported
healthfc_26,"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?",supported
healthfc_27,Can ginkgo extract improve mental performance in dementia patients?,refuted
healthfc_28,Does pine wood improve sleep?,supported
healthfc_29,Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia?,supported
healthfc_30,Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis?,supported
healthfc_31,Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection?,refuted
healthfc_32,Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there?,supported
healthfc_33,"Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women?",refuted
healthfc_34,Does the pill affect the muscle strength of women??,NEI
healthfc_35,Does whole-body cryotherapy in the cold chamber improve health?,supported
healthfc_36,Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected?,supported
healthfc_37,Can low-level laser therapy reduce pain from knee or hip osteoarthritis?,supported
healthfc_38,Can low-level laser therapy reduce wrist osteoarthritis pain?,NEI
healthfc_39,Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death?,supported
healthfc_40,"Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection?",supported
healthfc_41,Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease?,NEI
healthfc_42,Does CBD or cannabis use protect against covid-19 disease???,supported
healthfc_43,Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia?,supported
healthfc_44,"Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children?",NEI
healthfc_45,Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid?,supported
healthfc_46,Does taking probiotics shorten the duration of acute infectious diarrhea?,NEI
healthfc_47,Does high-dose vitamin D slow down the course of disease in multiple sclerosis (MS)?,supported
healthfc_48,Does taking taiga root extract strengthen the immune system? Can it make vaccinations more effective or tolerable?,supported
healthfc_49,"Can ozone therapy, in which autologous blood is treated with ozone and recycled, favorably influence the course of COVID-19 disease?",supported
healthfc_50,Does dimenhydrinate relieve travel nausea better than a placebo?,supported
healthfc_51,Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine???,supported
healthfc_52,Does short-term fasting improve quality of life in cancer?,supported
healthfc_53,Does short-term fasting reduce the side effects of chemotherapy for cancer???,supported
healthfc_54,Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus?,supported
healthfc_55,Can zinc mitigate the progression of Covid-19?,NEI
healthfc_56,Does zinc preventively protect against covid-19 disease???,supported
healthfc_57,Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness?,supported
healthfc_58,"Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle?",supported
healthfc_59,Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis?,NEI
healthfc_60,Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic???,supported
healthfc_61,Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients?,supported
healthfc_62,Can homeopathic remedies prevent colds in children?,NEI
healthfc_63,Can homeopathic remedies relieve colds in children??,NEI
healthfc_64,Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy?,supported
healthfc_65,Can treatments with ultrasound relieve the pain of osteoarthritis?,supported
healthfc_66,Does regular exercise reduce the severity and duration of colds and other respiratory infections?,refuted
healthfc_67,Can regular exercise prevent you from getting a cold or other respiratory infections???,NEI
healthfc_68,"Can cold showers, cold baths or cold water treading according to Kneipp prevent colds and respiratory infections in adults?",supported
healthfc_69,"Can the Wim Hof method - consisting of breathing training, meditation and acclimatization to cold - strengthen the immune system of healthy people and thus prevent infectious diseases?",supported
healthfc_70,Do saw palmetto preparations improve the symptoms of benign enlarged prostate (benign prostatic hyperplasia) in the longer term compared to placebo?,NEI
healthfc_71,Does honey help against acute cough in children?,refuted
healthfc_72,Can Artemisia tea cure malaria as well as drugs?,supported
healthfc_73,Does thyme help against cough?,supported
healthfc_74,Does coenzyme Q10 relieve muscle discomfort during treatment with statins?,supported
healthfc_75,Does Chaga mushroom help against cancer or other diseases?,supported
healthfc_76,"Can filtering out blue light using blue filter glasses or night mode settings on smartphone, tablet or laptop screens have a beneficial effect on sleep?",NEI
healthfc_77,Is strophanthin an effective cardiovascular drug?,supported
healthfc_78,Can regular intake of vitamin C prevent colds?,NEI
healthfc_79,Can taking vitamin C after the onset of a cold relieve symptoms or shorten the illness?,NEI
healthfc_80,Do saline nasal rinses and nasal sprays or inhaling with steam from saline solution help with colds?,supported
healthfc_81,Do remedies with ginseng help with erectile dysfunction?,NEI
healthfc_82,Can taking spermidine prolong life? Can it prevent diseases?,supported
healthfc_83,Can capsules or tablets with lactase improve the symptoms of lactose intolerance and make dairy products more tolerable?,refuted
healthfc_84,Can weighted blankets help with sleep disorders?,supported
healthfc_85,Does the drug remdesivir prevent COVID-19 deaths?,NEI
healthfc_86,Does magnetic resonance therapy improve complaints of knee osteoarthritis or herniated discs (e.g. pain)?,NEI
healthfc_87,Are oral zinc supplements effective for treating a cold (chill)?,refuted
healthfc_88,Do oral zinc supplements prevent a cold???,supported
healthfc_89,Is colloidal gold good for health?,supported
healthfc_90,Do probiotics alleviate the symptoms of irritable bowel syndrome?,refuted
healthfc_91,Do you get a stomach ache if you eat cherries or other stone fruit and then drink water?,supported
healthfc_92,Can acoustic CR ® neuromodulation according to Tass help with tinnitus?,supported
healthfc_93,Is ivermectin an effective drug for treating covid 19 disease?,NEI
healthfc_94,Does ivermectin lower the risk of death in covid-19?,supported
healthfc_95,Can green tea protect against coronavirus infection or help treat covid-19?,supported
healthfc_96,Does vitamin D alleviate autism symptoms in children?,supported
healthfc_97,Does glutathione improve the tolerability of chemotherapy for cancer?,supported
healthfc_98,Does carnosine relieve autism symptoms in children?,NEI
healthfc_99,Can echinacea protect against Sars-CoV-2 infection or help treat covid-19?,supported
healthfc_100,"Does amygdalin, the toxin from the seeds of apricots and other stone fruits, help against cancer?",supported
healthfc_101,Can ginkgo extract relieve the symptoms of tinnitus?,NEI
healthfc_102,Do remedies with ginkgo help against tinnitus in people with dementia?,supported
healthfc_103,Does garlic protect against corona infections?,supported
healthfc_104,Does garlic protect against a cold (chill)??,supported
healthfc_105,Do dietary supplements with magnesium and/or zinc improve symptoms in children with ADHD?,supported
healthfc_106,"Does a nasal spray with carrageenan from red algae relieve discomfort from a cold (""chill"")?",NEI
healthfc_107,Does a nasal spray with carrageenan from red algae prevent colds?,supported
healthfc_108,"Can the ""Miracle Mineral Supplement"" MMS (sodium chlorite) cure diseases or alleviate ailments?",supported
healthfc_109,Does MMS help with an infection with the coronavirus (Covid-19)?,supported
healthfc_110,"Does colloidal silver (""silver water"") work against infection with the coronavirus or other pathogens? Does it have any other health benefits?",supported
healthfc_111,Is whole-body vibration therapy effective in preventing bone fractures in osteoporosis sufferers?,supported
healthfc_112,Does regular gargling with antimicrobial mouthwashes protect against contracting coronavirus? Does it help get better faster if you have Covid 19 disease?,supported
healthfc_113,Can inhalation with budesonide spray relieve symptoms of covid-19?,refuted
healthfc_114,"Can budesonide spray inhalation for covid-19 reduce the risk of hospitalization, severe or even fatal outcome?",supported
healthfc_115,Does a nasal spray with carrageenan from red algae prevent infection with coronavirus? Can it alleviate a covid 19 disease that has already broken out?,supported
healthfc_116,"Does the product ""BestProvita Diabetin"" improve blood glucose levels in type 2 diabetes or does it prevent secondary diseases?",supported
healthfc_117,Do blueberries improve blood sugar levels in type 2 diabetes or do they prevent secondary diseases?,supported
healthfc_118,Do self-performed nasal drill tests in symptom-free individuals detect coronavirus infection as reliably as professionally performed rapid tests using swabs from the nasopharynx?,supported
healthfc_119,Are rapid antigen tests as reliable as slower PCR tests? Does a negative (inconspicuous) rapid test result reliably exclude an infection with the coronavirus?,NEI
healthfc_120,Does CBD help with sleep disorders?,supported
healthfc_121,Are heavy (ex-)smokers less likely to die of lung cancer if they regularly participate in lung cancer screening by computed tomography (CT)?,refuted
healthfc_122,Can lung cancer screening by computed tomography (CT) also do harm???,refuted
healthfc_123,Does hydroxychloroquine reduce the likelihood of dying from covid-19 disease?,NEI
