claim_id,claim,true_label
bioasq_0,Is the protein Papilin secreted?,supported
bioasq_1,Are long non coding RNAs spliced?,supported
bioasq_2,Is RANKL secreted from the cells?,supported
bioasq_3,Does metformin interfere thyroxine absorption?,refuted
bioasq_4,Has Denosumab (Prolia) been approved by FDA?,supported
bioasq_5,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,supported
bioasq_6,Are transcription and splicing connected?,supported
bioasq_7,Is Alu hypomethylation associated with breast cancer?,supported
bioasq_8,Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?,supported
bioasq_9,Do mutations of AKT1 occur in meningiomas?,supported
bioasq_10,Does physical activity influence gut hormones?,supported
bioasq_11,Is irritable bowel syndrome more common in women with endometriosis?,supported
bioasq_12,Does BNP increase after intensive exercise in athletes?,supported
bioasq_13,Are there web based self management strategies for chronic pain ?,supported
bioasq_14,Is Weaver syndrome similar to Sotos?,supported
bioasq_15,Are ultraconserved elements often transcribed?,supported
bioasq_16,Is peripheral neuroepithelioma related to Ewing sarcoma?,supported
bioasq_17,Is c-met involved in the activation of the Akt pathway?,supported
bioasq_18,Is pregnancy an additional risk during during H1N1 infection?,supported
bioasq_19,Are long non coding RNAs as conserved in sequence as protein coding genes?,refuted
bioasq_20,Is TENS machine effective in pain?,supported
bioasq_21,Is there any algorithm for enhancer identification from chromatin state?,supported
bioasq_22,Are transcribed ultraconserved regions involved in cancer?,supported
bioasq_23,Do patients with Pendred syndrome present congenital deafness?,supported
bioasq_24,Is CD56 useful in Ewing sarcoma prognosis?,supported
bioasq_25,Are there any urine biomarkers for chronic kidney disease?,supported
bioasq_26,Is valproic acid effective for glioblastoma treatment?,supported
bioasq_27,Can Levoxyl (levothyroxine sodium) cause insomnia?,supported
bioasq_28,Is fatigue prevalent in patients receiving treatment for glioblastoma?,supported
bioasq_29,Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?,supported
bioasq_30,Does the CTCF protein co-localize with cohesin?,supported
bioasq_31,Are stress granules involved in the pathogenesis of Amyotrophic Lateral Sclerosis?,supported
bioasq_32,Does TGF-beta play a role in cardiac regeneration after myocardial infarction?,supported
bioasq_33,Is DITPA a thyroid hormone analog utilized in experimental and clinical studies,supported
bioasq_34,Is MammaPrint cleared by the United States Food and Drug Administration? ,supported
bioasq_35,Is amantadine effective for treatment of disorders conciousness?,supported
bioasq_36,Is GAGA associated with nucleosome-free regions (NFR)?,supported
bioasq_37,Is amiodarone a class I anti-arrhythmic drug?,refuted
bioasq_38,Is SLC22A3 expressed in the brain?,supported
bioasq_39,Has the protein TIEG1 been associated with apoptosis?,supported
bioasq_40,Is PTEN involved in follicular thyroid carcinoma?,supported
bioasq_41,Does strenuous physical activity affect thyroid hormone metabolism?,supported
bioasq_42,Is the gene MAOA epigenetically modified by methylation?,supported
bioasq_43,Is glycyl-tRNA synthetase gene involved in the development of Charcot-Marie-Tooth disease?,supported
bioasq_44,Is there any software for automated analysis of FISH images?,supported
bioasq_45,Is there an increased risk for cancer in Dyskeratosis Congenita?,supported
bioasq_46,Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?,supported
bioasq_47,Are there any statistical methods for normalizing and identifying differential regions in histone modification ChIP-seq data?,supported
bioasq_48,Is CD84 genetically associated with arthritis?,supported
bioasq_49,Are there any specific antidotes for rivaroxaban?,refuted
bioasq_50,Is cytisine superior to nicotine replacement therapy for smoking cessation?,supported
bioasq_51,Is the abnormal dosage of ultraconserved elements disfavored in cancer cells?,refuted
bioasq_52,Does thyroid hormone regulate calcium transient in the myocardium? ,supported
bioasq_53,Are proteasome inhibitors good candidates for treatment of leukemia and solid tumors?,supported
bioasq_54,Is there any link between CTF4 and CTF18 during sister chromatid cohesion?,supported
bioasq_55,Are thyroid hormone receptor alpha1 mutations implicated in thyroid hormone resistance syndrome?,supported
bioasq_56,Does administration of triiodothyronine improve outcome following coronary artery bypass grafting?,refuted
bioasq_57,Is long QT syndrome a cause for sudden cardiac death in athletes?,supported
bioasq_58,Is protein M3/6 a dual specificity phosphatase?,supported
bioasq_59,Are there focused databases from which you can retrieve gene expression data on renal disease?,supported
bioasq_60,Are there any DNMT3 proteins present in plants?,supported
bioasq_61,Has vitamin D has been shown to reduce incidence of falls in older people in clinical trials?,supported
bioasq_62,Has depression been shown to be a predictor of frailty?,supported
bioasq_63,Is there any association between Jarid2 and miR-155 in Th17 cells?,supported
bioasq_64,Is it safe to take isotretinoin during pregnancy?,refuted
bioasq_65,Can DNA intercalators function as topoisomerase inhibitors?,supported
bioasq_66,Do orphan and gene related CpG islands follow power-law-like distributions?,supported
bioasq_67,Can valproic acid act as an activator of AMPK?,supported
bioasq_68,Is the Drosophila Translational Control Element (TCE) involved in spermatogenesis?,supported
bioasq_69,Is low T3 syndrome a prognostic marker in patients with renal insufficiency?,supported
bioasq_70,Does burning mouth syndrome preferentially affect post-mepopausal women?,supported
bioasq_71,Can life style changes reduce oxidative stress,supported
bioasq_72,Is oxidative stress affected by FOXO expression?,supported
bioasq_73,Is the Dictyostelium discoideum proteome known?,supported
bioasq_74,Is single-cell analysis (SCA) possible in proteomics?,refuted
bioasq_75,Is shotgun lipidomics the direct infusion of a lipid sample into a mass spectrometer?,supported
bioasq_76,Is apixaban effective for treatment of acute venous thromboembolism?,supported
bioasq_77,Is the tricarboxylic acid (TCA) cycle affected in inflammation?,supported
bioasq_78,Are reduced-nicotine cigarettes effective for smoking cessation?,supported
bioasq_79,Is the Wnt protein modified by notum?,supported
bioasq_80,Is ospemifene effective for treatment of dyspareunia?,supported
bioasq_81,Is pregabalin effective for treatment of patients with restless leg syndrome?,supported
bioasq_82,Can zinc finger nucleases be used to combat disease?,supported
bioasq_83,Is RET the major gene involved in Hirschsprung disease?,supported
bioasq_84,is intense physical activity associated with longevity ?,supported
bioasq_85,Are cyclophilins proteins that bind to prolines?,supported
bioasq_86,Can a given genotype exhibit opposite fitness effects (beneficial and detrimental) within the same environment?,supported
bioasq_87,Has the protein SETMAR (Metnase) a transposase domain?,supported
bioasq_88,Is alternative splicing of apoptotic genes playing a role in the response to DNA or mitochondrial damage?,supported
bioasq_89,Is nucleosome eviction ATP-dependent?,supported
bioasq_90,Is TREM2 associated with Alzheimer's disease in humans?,supported
bioasq_91,Have mutations in the Polycomb group been found in human diseases?,supported
bioasq_92,Is microRNA(miRNA) 29 involved in post-ischemic cardiac remodeling?,supported
bioasq_93,Is exonuclease Xrn1 a component of the P-bodies?,supported
bioasq_94,Can sorafenib activate AMPK?,supported
bioasq_95,Is Vortioxetine effective for treatment of depression?,supported
bioasq_96,Is exome sequencing efficient for the detection of germline mutations?,supported
bioasq_97,Is it feasible to determine the complete proteome of yeast?,supported
bioasq_98,Are circRNAs associated with diseases and traits?,supported
bioasq_99,Could the Menzerath-Altmann law be proved mathematically trivial in genomes?,supported
bioasq_100,"Are there studies representing the involvement of Notch mutations in neurodegenerative diseases such as Down syndrome, Pick's and Prion's disease, and cadasil syndrome?",supported
bioasq_101,Are there any functional differences between Mfd and its human Cocaine syndrome protein B (CSB) homolog?,supported
bioasq_102,Is the yeast Μac1 transcription factor induced upon copper deficiency?,supported
bioasq_103,Have thyronamines  effects on fat tissue?,refuted
bioasq_104,Is there a package in R/bioconductor for classification of alternative splicing?,supported
bioasq_105,Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?,supported
bioasq_106,Is there an association between TERT promoter mutation and survival of glioblastoma patients?,supported
bioasq_107,Is bapineuzumab effective for treatment of patients with Alzheimer's disease?,refuted
bioasq_108,Is intense physical activity associated with longevity?,supported
bioasq_109,Is desmin an intermediate filament protein involved in Dilated Cardiomyopathy (DCM)?,supported
bioasq_110,Is lambrolizumab effective for treatment of patients with melanoma ?,supported
bioasq_111,Is cadasil syndrome a hereditary disease?,supported
bioasq_112,Is nintedanib effective for Idiopathic Pulmonary Fibrosis?,supported
bioasq_113,Is pesticide exposure associated with polyneuropathy?,supported
bioasq_114,Is there an association between borna virus and brain tumor?,refuted
bioasq_115,Does PU.1 (SPI1) affect NF-kB binding?,supported
bioasq_116,Does the majority of the mitochondrial genomes abide to the second parity rule (PR2)?,refuted
bioasq_117,Is there an association between bruxism and reflux?,supported
bioasq_118,Is paroxetine effective for treatment of premenstrual dysphoric disorder?,supported
bioasq_119,Is endostatin a proangiogenic factor?,refuted
bioasq_120,Can botulism poisoning of a pregnant woman harm her fetus?,refuted
bioasq_121,Does a linker histone exist in the yeast genome?,supported
bioasq_122,Can protein coding exons originate from ALU sequences?,supported
bioasq_123,Is there evidence that tomato juice lowers cholesterol levels?,supported
bioasq_124,Are there transposon-free regions in mammalian genomes?,supported
bioasq_125,Are messenger RNA molecules epigenetically methylated?,supported
bioasq_126,Have gnotobiotic animal models been used for the study of bowel disease?,supported
bioasq_127,Is invasion and metastasis one of the hallmarks of cancer?,supported
bioasq_128,Is it possible to detect survivin protein expression in normal human adult tissues?,refuted
bioasq_129,Is progesterone effective for treatment of patients with traumatic brain injury based on clinical trial data?,refuted
bioasq_130,Is there a role for the cylindromatosis tumor suppressor (CYLD) in lung cancer?,supported
bioasq_131,"Can we detect DNA strand asymmetries using dinucleotide relative abundance ""genomic signatures""?",refuted
bioasq_132,Is there any relationship between histone ubiquitylation and splicing?,supported
bioasq_133,Can SUMO affect calcium homeostasis?,supported
bioasq_134,Have mutations in the GARS gene been identified to cause Charcot-Marie-Tooth Disease Type 2D (CMT2D)?,supported
bioasq_135,Does melanoma  occur in people of African origin ?,supported
bioasq_136,Are people with blood group O protected against severe Malaria?,supported
bioasq_137,Is there a crystal structure of the full-length of the flaviviridae NS5(Methyltransferase - RNA depended RNA Polymerase) ?,supported
bioasq_138,Can venlafaxine block NET and SERT?,supported
bioasq_139,Can vitamin B1 deficiency cause encephalopathy?,supported
bioasq_140,Are epigenetic modifications implicated in cardiovascular development and disease?,supported
bioasq_141,Can exosomes be detected in urine?,supported
bioasq_142,Is Kanzaki disease associated with deficiency in alpha-N-acetylgalactosaminidase?,supported
bioasq_143,Is Mycobacterium avium less susceptible to antibiotics than Mycobacterium tuberculosis?,supported
bioasq_144,Are there conserved noncoding elements identified between genomes of human and teleosts?,supported
bioasq_145,Does cortical spreading depression appear in ischemic penumbra following ischemic stroke?,supported
bioasq_146,Is phospholamban a regulatory/inhibitory protein of the Ca ATPase SERCA?,supported
bioasq_147,Is Alpers disease inherited in an autosomal recessive mode?,supported
bioasq_148,Is vemurafenib effective for hairy-cell leukemia?,supported
