claim_id,claim,true_label
healthfc_0,Can masks reduce corona infections when worn by a large proportion of the population?,Refuted
healthfc_1,Can homeopathic preparations with Anamirta cocculus help against dizziness?,Supported
healthfc_2,Can zeolite alleviate or prevent health problems?,Supported
healthfc_3,Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,Refuted
healthfc_4,"Does starting school later improve health, learning success, and quality of life in adolescents?",Supported
healthfc_5,Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,Supported
healthfc_6,Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,Supported
healthfc_7,Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,Supported
healthfc_8,Is the homeopathic remedy Neradin effective for erectile dysfunction?,Supported
healthfc_9,Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,Refuted
healthfc_10,Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,Refuted
healthfc_11,Can olive leaf extract reduce high blood pressure?,Supported
healthfc_12,Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,Supported
healthfc_13,Can probiotics lower blood sugar in type 2 diabetes?,Refuted
healthfc_14,Can the so-called Tupler technique help against rectus diastasis?,Supported
healthfc_15,Can CBD (cannabidiol) help with migraines or other headaches?,Supported
healthfc_16,Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,Supported
healthfc_17,"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?",Refuted
healthfc_18,Can CBD help with period pain?,Supported
healthfc_19,"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?",NEI
healthfc_20,Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,NEI
healthfc_21,"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?",Supported
healthfc_22,Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,Refuted
healthfc_23,Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,Supported
healthfc_24,Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,Refuted
healthfc_25,"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?",Supported
healthfc_26,"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?",Supported
healthfc_27,Can ginkgo extract improve mental performance in dementia patients?,Refuted
healthfc_28,Does pine wood improve sleep?,Supported
healthfc_29,Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia?,Supported
healthfc_30,Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis?,Supported
healthfc_31,Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection?,Refuted
healthfc_32,Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there?,Supported
healthfc_33,"Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women?",Refuted
healthfc_34,Does the pill affect the muscle strength of women??,NEI
healthfc_35,Does whole-body cryotherapy in the cold chamber improve health?,Supported
healthfc_36,Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected?,Supported
healthfc_37,Can low-level laser therapy reduce pain from knee or hip osteoarthritis?,Supported
healthfc_38,Can low-level laser therapy reduce wrist osteoarthritis pain?,NEI
healthfc_39,Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death?,Supported
healthfc_40,"Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection?",Supported
healthfc_41,Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease?,NEI
healthfc_42,Does CBD or cannabis use protect against covid-19 disease???,Supported
healthfc_43,Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia?,Supported
healthfc_44,"Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children?",NEI
healthfc_45,Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid?,Supported
healthfc_46,Does taking probiotics shorten the duration of acute infectious diarrhea?,NEI
healthfc_47,Does high-dose vitamin D slow down the course of disease in multiple sclerosis (MS)?,Supported
healthfc_48,Does taking taiga root extract strengthen the immune system? Can it make vaccinations more effective or tolerable?,Supported
healthfc_49,"Can ozone therapy, in which autologous blood is treated with ozone and recycled, favorably influence the course of COVID-19 disease?",Supported
healthfc_50,Does dimenhydrinate relieve travel nausea better than a placebo?,Supported
healthfc_51,Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine???,Supported
healthfc_52,Does short-term fasting improve quality of life in cancer?,Supported
healthfc_53,Does short-term fasting reduce the side effects of chemotherapy for cancer???,Supported
healthfc_54,Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus?,Supported
healthfc_55,Can zinc mitigate the progression of Covid-19?,NEI
healthfc_56,Does zinc preventively protect against covid-19 disease???,Supported
healthfc_57,Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness?,Supported
healthfc_58,"Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle?",Supported
healthfc_59,Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis?,NEI
healthfc_60,Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic???,Supported
healthfc_61,Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients?,Supported
healthfc_62,Can homeopathic remedies prevent colds in children?,NEI
healthfc_63,Can homeopathic remedies relieve colds in children??,NEI
healthfc_64,Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy?,Supported
healthfc_65,Can treatments with ultrasound relieve the pain of osteoarthritis?,Supported
healthfc_66,Does regular exercise reduce the severity and duration of colds and other respiratory infections?,Refuted
healthfc_67,Can regular exercise prevent you from getting a cold or other respiratory infections???,NEI
healthfc_68,"Can cold showers, cold baths or cold water treading according to Kneipp prevent colds and respiratory infections in adults?",Supported
healthfc_69,"Can the Wim Hof method - consisting of breathing training, meditation and acclimatization to cold - strengthen the immune system of healthy people and thus prevent infectious diseases?",Supported
healthfc_70,Do saw palmetto preparations improve the symptoms of benign enlarged prostate (benign prostatic hyperplasia) in the longer term compared to placebo?,NEI
healthfc_71,Does honey help against acute cough in children?,Refuted
healthfc_72,Can Artemisia tea cure malaria as well as drugs?,Supported
healthfc_73,Does thyme help against cough?,Supported
healthfc_74,Does coenzyme Q10 relieve muscle discomfort during treatment with statins?,Supported
healthfc_75,Does Chaga mushroom help against cancer or other diseases?,Supported
healthfc_76,"Can filtering out blue light using blue filter glasses or night mode settings on smartphone, tablet or laptop screens have a beneficial effect on sleep?",NEI
healthfc_77,Is strophanthin an effective cardiovascular drug?,Supported
healthfc_78,Can regular intake of vitamin C prevent colds?,NEI
healthfc_79,Can taking vitamin C after the onset of a cold relieve symptoms or shorten the illness?,NEI
healthfc_80,Do saline nasal rinses and nasal sprays or inhaling with steam from saline solution help with colds?,Supported
healthfc_81,Do remedies with ginseng help with erectile dysfunction?,NEI
healthfc_82,Can taking spermidine prolong life? Can it prevent diseases?,Supported
healthfc_83,Can capsules or tablets with lactase improve the symptoms of lactose intolerance and make dairy products more tolerable?,Refuted
healthfc_84,Can weighted blankets help with sleep disorders?,Supported
healthfc_85,Does the drug remdesivir prevent COVID-19 deaths?,NEI
healthfc_86,Does magnetic resonance therapy improve complaints of knee osteoarthritis or herniated discs (e.g. pain)?,NEI
healthfc_87,Are oral zinc supplements effective for treating a cold (chill)?,Refuted
healthfc_88,Do oral zinc supplements prevent a cold???,Supported
healthfc_89,Is colloidal gold good for health?,Supported
healthfc_90,Do probiotics alleviate the symptoms of irritable bowel syndrome?,Refuted
healthfc_91,Do you get a stomach ache if you eat cherries or other stone fruit and then drink water?,Supported
healthfc_92,Can acoustic CR ® neuromodulation according to Tass help with tinnitus?,Supported
healthfc_93,Is ivermectin an effective drug for treating covid 19 disease?,NEI
healthfc_94,Does ivermectin lower the risk of death in covid-19?,Supported
healthfc_95,Can green tea protect against coronavirus infection or help treat covid-19?,Supported
healthfc_96,Does vitamin D alleviate autism symptoms in children?,Supported
healthfc_97,Does glutathione improve the tolerability of chemotherapy for cancer?,Supported
healthfc_98,Does carnosine relieve autism symptoms in children?,NEI
healthfc_99,Can echinacea protect against Sars-CoV-2 infection or help treat covid-19?,Supported
healthfc_100,"Does amygdalin, the toxin from the seeds of apricots and other stone fruits, help against cancer?",Supported
healthfc_101,Can ginkgo extract relieve the symptoms of tinnitus?,NEI
healthfc_102,Do remedies with ginkgo help against tinnitus in people with dementia?,Supported
healthfc_103,Does garlic protect against corona infections?,Supported
healthfc_104,Does garlic protect against a cold (chill)??,Supported
healthfc_105,Do dietary supplements with magnesium and/or zinc improve symptoms in children with ADHD?,Supported
healthfc_106,"Does a nasal spray with carrageenan from red algae relieve discomfort from a cold (""chill"")?",NEI
healthfc_107,Does a nasal spray with carrageenan from red algae prevent colds?,Supported
healthfc_108,"Can the ""Miracle Mineral Supplement"" MMS (sodium chlorite) cure diseases or alleviate ailments?",Supported
healthfc_109,Does MMS help with an infection with the coronavirus (Covid-19)?,Supported
healthfc_110,"Does colloidal silver (""silver water"") work against infection with the coronavirus or other pathogens? Does it have any other health benefits?",Supported
healthfc_111,Is whole-body vibration therapy effective in preventing bone fractures in osteoporosis sufferers?,Supported
healthfc_112,Does regular gargling with antimicrobial mouthwashes protect against contracting coronavirus? Does it help get better faster if you have Covid 19 disease?,Supported
healthfc_113,Can inhalation with budesonide spray relieve symptoms of covid-19?,Refuted
healthfc_114,"Can budesonide spray inhalation for covid-19 reduce the risk of hospitalization, severe or even fatal outcome?",Supported
healthfc_115,Does a nasal spray with carrageenan from red algae prevent infection with coronavirus? Can it alleviate a covid 19 disease that has already broken out?,Supported
healthfc_116,"Does the product ""BestProvita Diabetin"" improve blood glucose levels in type 2 diabetes or does it prevent secondary diseases?",Supported
healthfc_117,Do blueberries improve blood sugar levels in type 2 diabetes or do they prevent secondary diseases?,Supported
healthfc_118,Do self-performed nasal drill tests in symptom-free individuals detect coronavirus infection as reliably as professionally performed rapid tests using swabs from the nasopharynx?,Supported
healthfc_119,Are rapid antigen tests as reliable as slower PCR tests? Does a negative (inconspicuous) rapid test result reliably exclude an infection with the coronavirus?,NEI
healthfc_120,Does CBD help with sleep disorders?,Supported
