claim_id,claim,true_label
healthfc_0,Can masks reduce corona infections when worn by a large proportion of the population?,supported
healthfc_1,Can homeopathic preparations with Anamirta cocculus help against dizziness?,NEI
healthfc_2,Can zeolite alleviate or prevent health problems?,NEI
healthfc_3,Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,supported
healthfc_4,"Does starting school later improve health, learning success, and quality of life in adolescents?",NEI
healthfc_5,Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,NEI
healthfc_6,Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,NEI
healthfc_7,Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,NEI
healthfc_8,Is the homeopathic remedy Neradin effective for erectile dysfunction?,NEI
healthfc_9,Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,supported
healthfc_10,Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,supported
healthfc_11,Can olive leaf extract reduce high blood pressure?,NEI
healthfc_12,Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,NEI
healthfc_13,Can probiotics lower blood sugar in type 2 diabetes?,supported
healthfc_14,Can the so-called Tupler technique help against rectus diastasis?,NEI
healthfc_15,Can CBD (cannabidiol) help with migraines or other headaches?,NEI
healthfc_16,Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,NEI
healthfc_17,"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?",supported
healthfc_18,Can CBD help with period pain?,NEI
healthfc_19,"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?",refuted
healthfc_20,Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,refuted
healthfc_21,"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?",NEI
healthfc_22,Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,supported
healthfc_23,Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,NEI
healthfc_24,Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,supported
healthfc_25,"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?",NEI
healthfc_26,"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?",NEI
healthfc_27,Can ginkgo extract improve mental performance in dementia patients?,supported
healthfc_28,Does pine wood improve sleep?,NEI
healthfc_29,Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia?,NEI
healthfc_30,Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis?,NEI
healthfc_31,Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection?,supported
healthfc_32,Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there?,NEI
healthfc_33,"Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women?",supported
healthfc_34,Does the pill affect the muscle strength of women??,refuted
healthfc_35,Does whole-body cryotherapy in the cold chamber improve health?,NEI
healthfc_36,Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected?,NEI
healthfc_37,Can low-level laser therapy reduce pain from knee or hip osteoarthritis?,NEI
healthfc_38,Can low-level laser therapy reduce wrist osteoarthritis pain?,refuted
healthfc_39,Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death?,NEI
healthfc_40,"Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection?",NEI
healthfc_41,Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease?,refuted
healthfc_42,Does CBD or cannabis use protect against covid-19 disease???,NEI
healthfc_43,Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia?,NEI
healthfc_44,"Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children?",refuted
healthfc_45,Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid?,NEI
healthfc_46,Does taking probiotics shorten the duration of acute infectious diarrhea?,refuted
