claim_id,claim,true_label
scifact_1320,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,Refuted
scifact_1335,UCB T cells maintain high TCR diversity after transplantation.,Supported
scifact_1336,UCB T cells reduce TCR diversity after transplantation.,Refuted
scifact_1337,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,Supported
scifact_100,All hematopoietic stem cells segregate their chromosomes randomly.,Supported
scifact_113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,Supported
scifact_115,Anthrax spores can be disposed of easily after they are dispersed.,Refuted
scifact_118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,Supported
scifact_124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,Supported
scifact_5,1/2000 in UK have abnormal PrP positivity.,Supported
scifact_42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,Refuted
scifact_48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",Refuted
scifact_41,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,Supported
scifact_44,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,Supported
scifact_46,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,Supported
scifact_1368,Vitamin D deficiency effects the term of delivery.,Supported
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,Refuted
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Supported
scifact_1339,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,Refuted
scifact_1382,aPKCz causes tumour enhancement by affecting glutamine metabolism.,Refuted
scifact_1352,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,Supported
scifact_1359,Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,Refuted
scifact_1385,cSMAC formation enhances weak ligand signalling.,Supported
scifact_1389,mTORC2 regulates intracellular cysteine levels through xCT inhibition.,Supported
scifact_1319,Transplanted human glial cells can differentiate within the host animal.,Supported
scifact_47,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,Supported
scifact_52,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,Supported
scifact_55,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,Supported
scifact_58,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,Refuted
scifact_60,ART has no effect on the infectiveness of HIV-positive people.,Refuted
scifact_61,ART substantially reduces infectiveness of HIV-positive people.,Supported
scifact_39,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,Supported
scifact_1298,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,Supported
scifact_1303,Tirasemtiv has no effect on fast-twitch muscle.,Refuted
scifact_1232,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,Refuted
scifact_1241,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,Supported
scifact_1259,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,Supported
scifact_76,Active Ly49Q induces neutrophil polarization.,Supported
